mtime,A,B,C,D,E,F,G,H,I,J
2021-11-01T00:00,19261,17223,8581,11671,6070,34940,9969,3180,32248,39796
2021-11-01T00:05,11964,16160,6409,11106,8601,49344,10775,2092,22096,41054
2021-11-01T00:10,15121,24221,6250,10323,5568,34047,10646,2992,23312,37494
2021-11-01T00:15,12804,15743,5777,11501,7515,63096,9761,3427,32385,31812
2021-11-01T00:20,11204,17188,5831,9453,4872,32024,7260,3123,26458,28230
2021-11-01T00:25,12083,15832,5120,6419,6115,67657,6275,2533,26195,33670
2021-11-01T00:30,15315,18072,7362,5077,5207,34671,9736,3058,20181,28844
2021-11-01T00:35,12342,14792,4372,6297,4925,43420,6885,1886,21815,31539
2021-11-01T00:40,11614,15180,7290,4262,5169,25599,7249,1721,24406,24738
2021-11-01T00:45,10673,12317,7296,6115,6042,45691,6401,2308,24728,29221
2021-11-01T00:50,8151,18662,7315,5749,4887,20093,7830,1610,14424,18355
2021-11-01T00:55,10562,13526,3835,7172,3366,39300,6349,1430,16815,23237
2021-11-01T01:00,10103,19570,10366,5214,7182,49022,8665,1791,15056,18163
2021-11-01T01:05,10594,19174,8095,6111,9455,58488,5099,1901,22732,17596
2021-11-01T01:10,10783,12527,8373,4442,5073,21350,6998,1097,20679,26062
2021-11-01T01:15,9416,9941,7466,4573,2983,20453,7075,1275,13790,24102
2021-11-01T01:20,11086,14592,6989,4047,5282,15532,6887,1568,16219,15399
2021-11-01T01:25,7062,11816,5820,3973,3164,17478,4934,1728,12880,15519
2021-11-01T01:30,7861,11191,3850,3810,3406,9369,4015,1060,15468,12513
2021-11-01T01:35,10884,9723,5279,4125,2791,9893,5804,1237,15766,15657
2021-11-01T01:40,8719,12137,6910,3116,2900,9613,5321,719,15086,18114
2021-11-01T01:45,10035,9689,3628,4054,1994,6468,3662,792,12153,14435
2021-11-01T01:50,8245,8470,2529,2377,2436,6873,3557,689,11594,11809
2021-11-01T01:55,8131,6133,1902,2836,2507,8291,3623,536,12145,8389
2021-11-01T02:00,6954,7626,2228,3713,4644,16498,2842,940,10229,9347
2021-11-01T02:05,4479,5292,1863,2675,3881,14968,3447,1114,10366,11432
2021-11-01T02:10,6284,4958,2108,3500,2409,14088,2737,704,6665,9452
2021-11-01T02:15,6701,7921,1900,2140,3563,15904,2755,715,9120,7500
2021-11-01T02:20,4610,4378,2252,1784,3189,10668,2340,1156,8139,7809
2021-11-01T02:25,6392,7078,1645,1754,2286,7810,2385,939,8885,7584
2021-11-01T02:30,6081,4326,1915,2329,2773,7758,2869,622,9832,7636
2021-11-01T02:35,4583,5752,2174,2399,2792,7036,2808,646,6117,6223
2021-11-01T02:40,4267,5784,2020,1989,2283,6040,1564,457,4904,8838
2021-11-01T02:45,5515,5461,1362,2679,1505,4702,2166,420,6805,6868
2021-11-01T02:50,4297,3580,1641,2382,1919,3803,1270,330,5940,6289
2021-11-01T02:55,4449,2851,1357,2531,2042,3728,1674,291,5486,6971
2021-11-01T03:00,3076,3361,1503,2162,3882,9082,1781,492,6913,8246
2021-11-01T03:05,3046,4383,1685,1778,3401,7988,2246,497,4712,7600
2021-11-01T03:10,3694,2835,1491,1904,3065,4354,1814,477,6681,7879
2021-11-01T03:15,4384,3599,1128,1574,3231,3969,1425,318,4487,5039
2021-11-01T03:20,4106,3064,1467,1982,1628,5004,1403,291,3800,6232
2021-11-01T03:25,4084,3466,1388,1326,1751,4904,1610,319,5680,5478
2021-11-01T03:30,3712,3177,814,1538,2245,3087,1332,212,3414,4112
2021-11-01T03:35,2337,1924,724,993,1364,3239,1475,193,4349,5578
2021-11-01T03:40,2215,2196,871,1437,1405,3080,1325,250,3562,6237
2021-11-01T03:45,2333,2748,1346,1392,994,4242,1022,178,3653,3858
2021-11-01T03:50,2014,2493,1411,950,1875,3165,1302,181,3712,4406
