site_name,bandwidth
A,430080
B,430080
C,430080
D,430080
E,430080
Dn,430080
P,430080
Q,430080
V,430080
Y,430080
b,430080
d,430080
i,430080
m,430080
q,430080
4,430080
5,430080
7,430080
9,430080
AD,430080
AF,430080
AG,430080
AJ,430080
Do,430080
AS,430080
AV,430080
Ab,430080
Dp,430080
Dq,430080
Ag,430080
Ak,430080
Ao,430080
Ar,430080
Av,430080
Ax,430080
Ay,430080
Az,430080
A1,430080
A3,430080
Dr,430080
A7,430080
BC,430080
BE,430080
BM,430080
BN,430080
BR,430080
BV,430080
BW,430080
Bb,430080
Be,430080
Dt,430080
Bh,430080
Bo,430080
Br,430080
Bt,430080
Bv,430080
Bx,430080
B0,430080
B7,430080
B8,430080
CB,430080
CF,430080
CG,430080
CH,430080
CK,430080
CP,430080
CS,430080
CT,430080
CZ,430080
Cb,430080
Ce,430080
Cg,430080
Du,430080
Cq,430080
Cs,430080
Cz,430080
C1,430080
C4,430080
C5,430080
C8,430080
C9,430080
DA,430080
DD,430080
DE,430080
DF,430080
DJ,430080
DK,430080
Dv,430080
DN,430080
DP,430080
DU,430080
DV,430080
DW,430080
Dw,430080
DZ,430080
Db,430080
Dh,430080
Dx,430080
Dj,430080
Dm,430080
